,Album,Artist,Duration,Name,TrackID,Year
0,Alive in Richmond 2.0,NO BS! Brass,195440,Take on Me,1494,2011
1,Thornhill,Moxy Fruvous,179731,Splatter Splatter,1496,1999
2,The Studio Albums 1972-1979,Eagles,396921,Journey of the Sorcerer,1498,2013
3,Queen: Greatest Hits I & II,Queen,220466,Hammer to Fall (Single Version),1502,1992
4,This Is Jazz #16,Maynard Ferguson,597466,MacArthur Park,1504,1996
5,Creep Live At (Le)Poisson Rouge - Single,Carrie Manolakos,288993,Creep Live At (Le)Poisson Rouge,1506,2012
6,Béla Fleck & The Flecktones: Greatest Hits of the 20th Century,Béla Fleck & The Flecktones,333080,Big Country,1510,1999
7,"England, Half English",Billy Bragg,196293,Take Down the Union Jack,1526,2002
8,Quelqu'un m'a dit,Carla Bruni,166226,Quelqu'un m'a dit,1530,2002
9,Pure Imagination - Single,Fiona Apple,200662,Pure Imagination,1532,2013
10,Girls Just Want to Have Fun (Demo) - Single,Greg Laswell,156923,Girls Just Want to Have Fun (Demo),1536,2007
11,Dan Bern,Dan Bern,224426,Jerusalem,1540,1997
12,Cowboy Bebop OST 3 - BLUE,Mai Yamane,355501,See You Space Cowboy...,1560,1999
13,Dummy,Portishead,304693,Glory Box,1588,1994
